match_keyword,standard_product_name,brand,product_group,main_ingredient,category_major,category_middle,category_sub,classification_source,classification_score,manual_lock,review_status,enabled,admin_action,admin_updated_at,note
나주배1,,,,,,,,,,,확인필요,N,,,2026-08-22 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
남가네 설악추어탕450gx12팩,,,,,,,,pending,,N,확인필요,N,,,2026-08-30 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
내추럴프레소 리얼 당근주스 12병,,,,,,,,pending,,N,확인필요,N,,,2026-09-02 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
넛츠데이 그랜드넛츠 3세트 총90봉,,,,,,,,,,,확인필요,N,,,2026-08-25 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
농협 라이블리 한우 특 꼬리곰탕 800gx8팩,,,,,,,,pending,,N,확인필요,N,,,2026-09-01 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
농협맛선 균형미블랙 16.5kg,,,,,,,,,,,확인필요,N,,,2026-08-26 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
뉴밋 야생 하스카프베리 NFC 착즙 12박스,,,,,,,,pending,,N,확인필요,N,,,2026-08-31 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
뉴밋 유기농 엑스트라버진 올리브오일 14박스,,,,,,,,pending,,N,확인필요,N,,,2026-08-29 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
뉴밋블루베리,,,,,,,,,,,확인필요,N,,,2026-08-27 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
뉴밋하스카프,,,,,,,,,,,확인필요,N,,,2026-08-25 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
